Order,Variable,Description,Category,Variable Type,Consumption Type,Root Formula,Type,Size,Part
0,CODE,Code,Geography,Incidence,,,V_String,16,1
0,GEO,Geographic Summarization Indicator,Geography,Incidence,,,V_String,16,1
1,NBAS12HP,Household Population 12+,Basics,Incidence,,[NBAS12HP],Double,8,1
2,Q470010C01,Distance Driven Per Year - None,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
3,Q470010C02,"Distance Driven Per Year - 1 to 9,999 Km",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
4,Q470010C03,"Distance Driven Per Year - 10,000 to 19,999 Km",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
5,Q470010C04,"Distance Driven Per Year - 20,000 to 29,999 Km",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
6,Q470010C05,"Distance Driven Per Year - 30,000 or more Km",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
7,Q4700100I0,Distance Driven Per Year - 1+,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
8,Q4700100A0,Distance Driven Per Year - 1+ (Kilometres),Automotive - Products,Consumption,Kilometres,[Q4700100I0],Double,8,1
9,Q470030C01,Type - Vehicle Driven [M Oft] - Sedan,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
10,Q470030C02,Type - Vehicle Driven [M Oft] - Sub-compact,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
11,Q470030C03,Type - Vehicle Driven [M Oft] - Sports car,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
12,Q470030C04,Type - Vehicle Driven [M Oft] - Minivan/station wagon,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
13,Q470030C05,Type - Vehicle Driven [M Oft] - Sport utility vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
14,Q470030C06,Type - Vehicle Driven [M Oft] - Pick-up truck,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
15,Q470030C07,Type - Vehicle Driven [M Oft] - Full-sized van (^),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
16,Q470030C08,Type - Vehicle Driven [M Oft] - Other,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
17,Q470020C01,Make - Vehicle Driven [M Oft] - Buick (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
18,Q470020C03,Make - Vehicle Driven [M Oft] - Chevrolet,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
19,Q470020C04,Make - Vehicle Driven [M Oft] - Chrysler (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
20,Q470020C05,Make - Vehicle Driven [M Oft] - Dodge,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
21,Q470020C06,Make - Vehicle Driven [M Oft] - Ford,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
22,Q470020C07,Make - Vehicle Driven [M Oft] - GMC,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
23,Q470020C08,Make - Vehicle Driven [M Oft] - Jeep/Eagle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
24,Q470020C11,Make - Vehicle Driven [M Oft] - Acura (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
25,Q470020C12,Make - Vehicle Driven [M Oft] - Audi (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
26,Q470020C13,Make - Vehicle Driven [M Oft] - BMW (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
27,Q470020C14,Make - Vehicle Driven [M Oft] - Honda,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
28,Q470020C15,Make - Vehicle Driven [M Oft] - Hyundai,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
29,Q470020C17,Make - Vehicle Driven [M Oft] - Kia,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
30,Q470020C18,Make - Vehicle Driven [M Oft] - Lexus (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
31,Q470020C19,Make - Vehicle Driven [M Oft] - Mazda,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
32,Q470020C20,Make - Vehicle Driven [M Oft] - Mercedes-Benz (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
33,Q470020C21,Make - Vehicle Driven [M Oft] - Mitsubishi (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
34,Q470020C22,Make - Vehicle Driven [M Oft] - Nissan,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
35,Q470020C23,Make - Vehicle Driven [M Oft] - Subaru,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
36,Q470020C25,Make - Vehicle Driven [M Oft] - Toyota,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
37,Q470020C26,Make - Vehicle Driven [M Oft] - Volkswagen,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
38,Q470020C27,Make - Vehicle Driven [M Oft] - Volvo (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
39,Q4740C2011O,Model Year - Vehicle Driven [M Oft] - 2012 or older,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
40,Q4740C2012,Model Year - Vehicle Driven [M Oft] - 2013,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
41,Q4740C2013,Model Year - Vehicle Driven [M Oft] - 2014,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
42,Q4740C2014,Model Year - Vehicle Driven [M Oft] - 2015,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
43,Q4740C2015,Model Year - Vehicle Driven [M Oft] - 2016,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
44,Q4740C2016,Model Year - Vehicle Driven [M Oft] - 2017,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
