Order,Variable,Description,Category,Root Formula,Type,Size
0,CODE,,Geography,[SVBAS15HP],V_String,16
0,GEO,,Geography,[SVBAS15HP],V_String,16
1,SVBAS15HP,Household Population 15+,Basics,[SVBAS15HP],Double,8
2,SV00001,Acceptance of Violence,Trends,[SVBAS15HP],Double,8
3,SV00002,Active Government,Trends,[SVBAS15HP],Double,8
4,SV00003,Adaptability to Complexity,Trends,[SVBAS15HP],Double,8
5,SV00004,Advertising as Stimulus,Trends,[SVBAS15HP],Double,8
6,SV00005,Anomie-Aimlessness,Trends,[SVBAS15HP],Double,8
7,SV00301,Apocalyptic Anxiety,Trends,[SVBAS15HP],Double,8
8,SV00006,Attraction For Crowds,Trends,[SVBAS15HP],Double,8
9,SV00007,Attraction to Nature,Trends,[SVBAS15HP],Double,8
10,SV00302,Authoritarian Impulse,Trends,[SVBAS15HP],Double,8
11,SV00008,Aversion to Complexity,Trends,[SVBAS15HP],Double,8
12,SV00009,Brand Apathy,Trends,[SVBAS15HP],Double,8
13,SV00010,Brand Genuineness,Trends,[SVBAS15HP],Double,8
14,SV00011,Buying on Impulse,Trends,[SVBAS15HP],Double,8
15,SV00012,Community Involvement,Trends,[SVBAS15HP],Double,8
16,SV00013,Concern for Appearance,Trends,[SVBAS15HP],Double,8
17,SV00014,Confidence in Advertising,Trends,[SVBAS15HP],Double,8
18,SV00015,Confidence in Big Business,Trends,[SVBAS15HP],Double,8
19,SV00016,Confidence in Small Business,Trends,[SVBAS15HP],Double,8
20,SV00017,Consumption Evangelism,Trends,[SVBAS15HP],Double,8
21,SV00018,Consumptivity,Trends,[SVBAS15HP],Double,8
22,SV00019,Cultural Assimilation,Trends,[SVBAS15HP],Double,8
23,SV00020,Culture Sampling,Trends,[SVBAS15HP],Double,8
24,SV00021,Discriminating Consumerism,Trends,[SVBAS15HP],Double,8
25,SV00022,Duty,Trends,[SVBAS15HP],Double,8
26,SV00023,Ecological Concern,Trends,[SVBAS15HP],Double,8
27,SV00024,Ecological Fatalism,Trends,[SVBAS15HP],Double,8
28,SV00025,Ecological Lifestyle,Trends,[SVBAS15HP],Double,8
